Epoch 1 - T_A:   0.0%, V_A:   0.0%, Validation Loss: 3.666, train_loss : 3.645
Epoch 2 - T_A:   0.0%, V_A:   6.2%, Validation Loss: 3.618, train_loss : 3.655
Epoch 3 - T_A:   0.0%, V_A:   0.0%, Validation Loss: 3.665, train_loss : 3.615
Epoch 4 - T_A:   3.1%, V_A:   3.1%, Validation Loss: 3.649, train_loss : 3.659
Epoch 5 - T_A:   0.0%, V_A:   0.0%, Validation Loss: 3.613, train_loss : 3.629
Epoch 6 - T_A:   3.1%, V_A:   0.0%, Validation Loss: 3.619, train_loss : 3.629
Epoch 7 - T_A:   6.2%, V_A:   3.1%, Validation Loss: 3.614, train_loss : 3.619
Epoch 8 - T_A:   3.1%, V_A:   3.1%, Validation Loss: 3.619, train_loss : 3.628
Epoch 9 - T_A:  15.6%, V_A:   3.1%, Validation Loss: 3.630, train_loss : 3.622
Epoch 10 - T_A:   6.2%, V_A:   3.1%, Validation Loss: 3.562, train_loss : 3.595
Epoch 11 - T_A:   0.0%, V_A:   3.1%, Validation Loss: 3.587, train_loss : 3.628
Epoch 12 - T_A:   3.1%, V_A:   9.4%, Validation Loss: 3.578, train_loss : 3.583
Epoch 13 - T_A:   9.4%, V_A:   9.4%, Validation Loss: 3.524, train_loss : 3.604
Epoch 14 - T_A:   6.2%, V_A:  12.5%, Validation Loss: 3.479, train_loss : 3.512
Epoch 15 - T_A:   9.4%, V_A:   0.0%, Validation Loss: 3.571, train_loss : 3.550
Epoch 16 - T_A:   9.4%, V_A:  12.5%, Validation Loss: 3.372, train_loss : 3.400
Epoch 17 - T_A:   6.2%, V_A:   9.4%, Validation Loss: 3.242, train_loss : 3.348
Epoch 18 - T_A:  21.9%, V_A:   6.2%, Validation Loss: 3.422, train_loss : 3.417
Epoch 19 - T_A:   9.4%, V_A:   9.4%, Validation Loss: 3.226, train_loss : 3.179
Epoch 20 - T_A:   3.1%, V_A:  15.6%, Validation Loss: 3.203, train_loss : 3.355
Epoch 21 - T_A:  12.5%, V_A:  21.9%, Validation Loss: 3.056, train_loss : 3.305
Epoch 22 - T_A:   6.2%, V_A:   9.4%, Validation Loss: 3.241, train_loss : 3.145
Epoch 23 - T_A:   6.2%, V_A:   0.0%, Validation Loss: 3.341, train_loss : 3.243
Epoch 24 - T_A:  18.8%, V_A:  21.9%, Validation Loss: 3.068, train_loss : 3.469
Epoch 25 - T_A:   9.4%, V_A:  25.0%, Validation Loss: 3.019, train_loss : 2.949
Epoch 26 - T_A:  21.9%, V_A:   9.4%, Validation Loss: 2.977, train_loss : 3.270
Epoch 27 - T_A:  15.6%, V_A:   6.2%, Validation Loss: 2.888, train_loss : 3.130
Epoch 28 - T_A:  25.0%, V_A:   6.2%, Validation Loss: 2.990, train_loss : 2.912
Epoch 29 - T_A:  12.5%, V_A:  12.5%, Validation Loss: 2.757, train_loss : 2.904
Epoch 30 - T_A:  28.1%, V_A:  18.8%, Validation Loss: 2.723, train_loss : 2.982
Epoch 31 - T_A:  21.9%, V_A:  18.8%, Validation Loss: 2.967, train_loss : 2.608
Epoch 32 - T_A:  21.9%, V_A:  21.9%, Validation Loss: 2.805, train_loss : 2.715
Epoch 33 - T_A:  25.0%, V_A:  12.5%, Validation Loss: 2.794, train_loss : 2.592
Epoch 34 - T_A:  25.0%, V_A:  28.1%, Validation Loss: 2.739, train_loss : 2.822
Epoch 35 - T_A:  18.8%, V_A:  15.6%, Validation Loss: 3.002, train_loss : 2.872
Epoch 36 - T_A:  28.1%, V_A:  18.8%, Validation Loss: 2.689, train_loss : 2.709
Epoch 37 - T_A:  25.0%, V_A:   9.4%, Validation Loss: 2.865, train_loss : 2.233
Epoch 38 - T_A:  18.8%, V_A:  18.8%, Validation Loss: 3.046, train_loss : 2.672
Epoch 39 - T_A:  15.6%, V_A:  15.6%, Validation Loss: 2.810, train_loss : 2.804
Epoch 40 - T_A:  21.9%, V_A:  18.8%, Validation Loss: 2.901, train_loss : 3.044
Epoch 41 - T_A:  18.8%, V_A:  18.8%, Validation Loss: 2.812, train_loss : 2.382
Epoch 42 - T_A:  15.6%, V_A:  15.6%, Validation Loss: 2.835, train_loss : 2.759
Epoch 43 - T_A:  25.0%, V_A:  28.1%, Validation Loss: 3.283, train_loss : 2.679
Epoch 44 - T_A:   9.4%, V_A:  28.1%, Validation Loss: 3.051, train_loss : 2.910
Epoch 45 - T_A:  15.6%, V_A:  18.8%, Validation Loss: 2.751, train_loss : 2.484
Epoch 46 - T_A:  25.0%, V_A:  12.5%, Validation Loss: 2.688, train_loss : 2.579
Epoch 47 - T_A:  31.2%, V_A:  40.6%, Validation Loss: 2.675, train_loss : 2.637
Epoch 48 - T_A:  15.6%, V_A:  25.0%, Validation Loss: 2.590, train_loss : 2.954
Epoch 49 - T_A:  25.0%, V_A:   9.4%, Validation Loss: 3.214, train_loss : 2.704
Epoch 50 - T_A:  21.9%, V_A:  28.1%, Validation Loss: 2.508, train_loss : 2.883
Epoch 51 - T_A:  15.6%, V_A:  21.9%, Validation Loss: 2.754, train_loss : 2.786
Epoch 52 - T_A:  12.5%, V_A:  21.9%, Validation Loss: 2.781, train_loss : 2.929
Epoch 53 - T_A:  15.6%, V_A:  28.1%, Validation Loss: 2.496, train_loss : 2.821
Epoch 54 - T_A:  43.8%, V_A:  12.5%, Validation Loss: 2.572, train_loss : 2.569
Epoch 55 - T_A:  18.8%, V_A:  18.8%, Validation Loss: 2.779, train_loss : 2.204
Epoch 56 - T_A:  12.5%, V_A:  25.0%, Validation Loss: 2.556, train_loss : 2.572
Epoch 57 - T_A:  25.0%, V_A:  18.8%, Validation Loss: 2.522, train_loss : 2.874
Epoch 58 - T_A:  25.0%, V_A:  34.4%, Validation Loss: 2.387, train_loss : 2.728
Epoch 59 - T_A:  18.8%, V_A:  21.9%, Validation Loss: 2.747, train_loss : 2.850
Epoch 60 - T_A:  25.0%, V_A:  12.5%, Validation Loss: 3.011, train_loss : 2.462
Epoch 61 - T_A:  18.8%, V_A:  18.8%, Validation Loss: 2.796, train_loss : 2.823
Epoch 62 - T_A:  25.0%, V_A:  21.9%, Validation Loss: 2.580, train_loss : 2.554
Epoch 63 - T_A:  31.2%, V_A:  21.9%, Validation Loss: 2.633, train_loss : 2.192
Epoch 64 - T_A:  25.0%, V_A:  34.4%, Validation Loss: 2.432, train_loss : 2.547
Epoch 65 - T_A:  46.9%, V_A:  21.9%, Validation Loss: 3.003, train_loss : 2.429
Epoch 66 - T_A:  15.6%, V_A:  37.5%, Validation Loss: 2.394, train_loss : 2.598
Epoch 67 - T_A:  18.8%, V_A:  21.9%, Validation Loss: 2.651, train_loss : 2.515
Epoch 68 - T_A:  15.6%, V_A:  28.1%, Validation Loss: 2.729, train_loss : 2.919
Epoch 69 - T_A:  31.2%, V_A:  31.2%, Validation Loss: 2.382, train_loss : 2.561
Epoch 70 - T_A:  18.8%, V_A:  15.6%, Validation Loss: 2.922, train_loss : 2.672
Epoch 71 - T_A:  28.1%, V_A:  15.6%, Validation Loss: 2.383, train_loss : 2.692
Epoch 72 - T_A:  18.8%, V_A:  18.8%, Validation Loss: 2.638, train_loss : 2.583
Epoch 73 - T_A:  28.1%, V_A:  28.1%, Validation Loss: 2.473, train_loss : 2.735
